state,year,pct_65plus,pct_nh_white
AL,2005,12.89,69.64
AK,2005,6.57,66.73
AZ,2005,12.61,60.16
AR,2005,13.46,77.02
CA,2005,10.49,43.3
CO,2005,9.71,71.93
CT,2005,13.04,75.28
DE,2005,13.05,69.64
DC,2005,12.13,29.68
FL,2005,16.58,61.98
GA,2005,9.2,59.68
HI,2005,13.64,22.97
ID,2005,11.23,86.91
IL,2005,11.54,65.63
IN,2005,11.93,84.22
IA,2005,14.05,91.53
KS,2005,12.4,81.6
KY,2005,12.22,88.91
LA,2005,11.36,61.88
ME,2005,14.12,95.95
MD,2005,11.16,59.11
MA,2005,12.89,79.73
MI,2005,12.11,78.04
MN,2005,11.57,86.2
MS,2005,11.95,60.03
MO,2005,12.8,83.02
MT,2005,13.29,89.19
NE,2005,12.77,85.39
NV,2005,11.24,59.76
NH,2005,11.89,93.94
NJ,2005,12.53,63.03
NM,2005,12.06,42.79
NY,2005,12.71,60.66
NC,2005,11.72,68.41
ND,2005,14.21,90.89
OH,2005,12.83,83.23
OK,2005,12.87,72.57
OR,2005,12.57,81.4
PA,2005,14.65,82.72
RI,2005,13.55,79.14
SC,2005,12.29,65.73
SD,2005,13.55,87.03
TN,2005,12.2,78.05
TX,2005,9.64,48.94
UT,2005,8.47,83.56
VT,2005,12.75,96.0
VA,2005,11.22,68.34
WA,2005,11.12,76.86
WI,2005,12.55,85.99
WY,2005,11.96,88.83
AL,2006,13.27,68.96
AK,2006,6.57,66.26
AZ,2006,12.81,59.49
AR,2006,13.83,76.34
CA,2006,10.77,42.79
CO,2006,10.03,71.53
CT,2006,13.42,74.49
DE,2006,13.42,68.75
DC,2006,12.29,31.56
FL,2006,16.77,61.03
GA,2006,9.68,58.75
HI,2006,13.93,24.57
ID,2006,11.55,86.28
IL,2006,11.94,65.13
IN,2006,12.37,83.81
IA,2006,14.6,91.02
KS,2006,12.87,80.95
KY,2006,12.73,88.35
LA,2006,12.19,62.72
ME,2006,14.56,95.27
MD,2006,11.53,58.32
MA,2006,13.31,79.29
MI,2006,12.48,77.63
MN,2006,12.16,85.85
MS,2006,12.39,59.26
MO,2006,13.34,82.51
MT,2006,13.9,88.56
NE,2006,13.19,84.84
NV,2006,11.02,58.64
NH,2006,12.31,93.57
NJ,2006,12.9,62.25
NM,2006,12.34,42.41
NY,2006,13.06,60.23
NC,2006,12.1,67.74
ND,2006,14.6,90.44
OH,2006,13.31,82.82
OK,2006,13.29,72.01
OR,2006,12.89,80.77
PA,2006,15.14,82.0
RI,2006,13.81,78.94
SC,2006,12.82,65.33
SD,2006,14.28,86.54
TN,2006,12.7,77.46
TX,2006,9.91,48.11
UT,2006,8.78,82.84
VT,2006,13.29,95.63
VA,2006,11.59,67.61
WA,2006,11.52,76.4
WI,2006,12.99,85.59
WY,2006,11.97,88.01
AL,2007,13.5,68.64
AK,2007,6.89,66.0
AZ,2007,12.92,58.82
AR,2007,14.04,75.9
CA,2007,10.95,42.47
CO,2007,10.15,71.16
CT,2007,13.46,74.02
DE,2007,13.54,68.5
DC,2007,11.94,32.34
FL,2007,16.97,60.57
GA,2007,9.85,58.31
HI,2007,14.38,24.58
ID,2007,11.66,85.5
IL,2007,12.04,64.9
IN,2007,12.5,83.39
IA,2007,14.68,90.51
KS,2007,12.93,80.63
KY,2007,12.87,88.01
LA,2007,12.16,62.23
ME,2007,14.8,94.5
MD,2007,11.77,57.88
MA,2007,13.33,79.09
MI,2007,12.7,77.46
MN,2007,12.23,85.64
MS,2007,12.39,58.83
MO,2007,13.37,82.2
MT,2007,13.73,88.18
NE,2007,13.28,84.7
NV,2007,11.1,57.85
NH,2007,12.59,93.16
NJ,2007,13.06,61.9
NM,2007,12.82,42.12
NY,2007,13.18,60.01
NC,2007,12.17,67.43
ND,2007,14.44,89.91
OH,2007,13.49,82.61
OK,2007,13.24,71.69
OR,2007,13.01,80.31
PA,2007,15.18,81.65
RI,2007,13.83,78.82
SC,2007,12.99,65.16
SD,2007,14.29,86.51
TN,2007,12.84,77.14
TX,2007,10.0,47.71
UT,2007,8.77,82.2
VT,2007,13.53,95.21
VA,2007,11.75,67.1
WA,2007,11.7,75.89
WI,2007,13.16,85.32
WY,2007,12.02,87.46
AL,2008,13.7,68.39
AK,2008,7.05,65.58
AZ,2008,13.29,58.18
AR,2008,14.16,75.61
CA,2008,11.2,42.04
CO,2008,10.37,70.78
CT,2008,13.63,73.6
DE,2008,13.83,68.21
DC,2008,11.91,32.82
FL,2008,17.37,60.1
GA,2008,10.15,57.9
HI,2008,14.74,24.81
ID,2008,11.95,85.06
IL,2008,12.19,64.46
IN,2008,12.75,83.06
IA,2008,14.78,90.23
KS,2008,13.09,80.22
KY,2008,13.2,87.75
LA,2008,12.22,61.77
ME,2008,15.13,95.16
MD,2008,12.05,57.47
MA,2008,13.4,78.55
MI,2008,13.01,77.33
MN,2008,12.47,85.31
MS,2008,12.54,58.59
MO,2008,13.57,82.09
MT,2008,14.07,87.86
NE,2008,13.45,84.18
NV,2008,11.35,56.98
NH,2008,12.86,93.0
NJ,2008,13.24,61.42
NM,2008,13.19,41.55
NY,2008,13.36,59.74
NC,2008,12.29,67.09
ND,2008,14.61,89.79
OH,2008,13.68,82.41
OK,2008,13.49,71.28
OR,2008,13.3,79.9
PA,2008,15.33,81.23
RI,2008,14.24,78.36
SC,2008,13.28,65.06
SD,2008,14.38,86.04
TN,2008,13.13,77.0
TX,2008,10.14,47.22
UT,2008,8.95,81.66
VT,2008,13.99,94.98
VA,2008,12.05,66.8
WA,2008,11.95,75.26
WI,2008,13.28,84.95
WY,2008,12.41,86.66
AL,2009,13.78,67.93
AK,2009,7.44,65.02
AZ,2009,13.15,57.13
AR,2009,14.28,74.99
CA,2009,11.21,41.46
CO,2009,10.63,70.46
CT,2009,13.84,72.83
DE,2009,14.22,67.38
DC,2009,11.68,33.34
FL,2009,17.26,59.28
GA,2009,10.28,57.34
HI,2009,14.56,24.89
ID,2009,11.98,84.44
IL,2009,12.36,64.44
IN,2009,12.88,82.63
IA,2009,14.78,89.9
KS,2009,13.03,79.82
KY,2009,13.22,87.23
LA,2009,12.33,61.34
ME,2009,15.54,94.18
MD,2009,12.13,56.64
MA,2009,13.55,78.18
MI,2009,13.42,77.27
MN,2009,12.71,84.73
MS,2009,12.72,58.24
MO,2009,13.73,81.77
MT,2009,14.48,87.6
NE,2009,13.43,83.29
NV,2009,11.61,55.63
NH,2009,13.47,92.66
NJ,2009,13.42,60.88
NM,2009,13.17,40.99
NY,2009,13.39,59.69
NC,2009,12.67,66.66
ND,2009,14.74,89.06
OH,2009,13.87,82.1
OK,2009,13.43,70.71
OR,2009,13.47,79.43
PA,2009,15.43,80.75
RI,2009,14.41,77.73
SC,2009,13.57,64.78
SD,2009,14.41,85.09
TN,2009,13.28,76.46
TX,2009,10.23,46.59
UT,2009,9.01,81.06
VT,2009,14.36,94.76
VA,2009,12.12,66.12
WA,2009,12.03,74.41
WI,2009,13.45,84.52
WY,2009,12.23,86.1
AL,2010,13.75,67.01
AK,2010,7.47,64.04
AZ,2010,13.83,57.75
AR,2010,14.38,74.49
CA,2010,11.43,40.02
CO,2010,10.93,69.88
CT,2010,14.21,71.04
DE,2010,14.39,65.34
DC,2010,11.49,34.76
FL,2010,17.37,57.76
GA,2010,10.64,55.8
HI,2010,14.53,22.65
ID,2010,12.53,84.02
IL,2010,12.57,63.61
IN,2010,12.99,81.5
IA,2010,14.85,88.55
KS,2010,13.26,78.12
KY,2010,13.33,86.44
LA,2010,12.31,60.29
ME,2010,15.88,94.46
MD,2010,12.28,54.62
MA,2010,13.82,76.31
MI,2010,13.82,76.49
MN,2010,12.93,83.06
MS,2010,12.89,58.04
MO,2010,14.06,80.96
MT,2010,14.88,87.82
NE,2010,13.54,82.21
NV,2010,12.1,54.04
NH,2010,13.64,92.17
NJ,2010,13.53,59.2
NM,2010,13.33,40.44
NY,2010,13.53,58.21
NC,2010,12.97,65.16
ND,2010,14.54,88.94
OH,2010,14.09,81.05
OK,2010,13.55,68.6
OR,2010,13.93,78.32
PA,2010,15.46,79.39
RI,2010,14.45,76.35
SC,2010,13.69,64.04
SD,2010,14.44,84.61
TN,2010,13.53,75.6
TX,2010,10.37,45.19
UT,2010,9.03,80.33
VT,2010,14.57,94.27
VA,2010,12.22,64.74
WA,2010,12.31,72.48
WI,2010,13.7,83.28
WY,2010,12.43,85.78
AL,2011,14.03,66.68
AK,2011,8.08,63.63
AZ,2011,14.24,57.28
AR,2011,14.59,74.25
CA,2011,11.67,39.58
CO,2011,11.25,69.59
CT,2011,14.39,70.7
DE,2011,14.76,65.02
DC,2011,11.28,35.25
FL,2011,17.63,57.34
GA,2011,10.96,55.44
HI,2011,14.8,22.9
ID,2011,12.89,83.48
IL,2011,12.76,63.13
IN,2011,13.14,81.26
IA,2011,14.96,88.38
KS,2011,13.3,77.71
KY,2011,13.59,86.08
LA,2011,12.49,59.97
ME,2011,16.36,94.26
MD,2011,12.56,54.24
MA,2011,13.99,75.81
MI,2011,14.05,76.31
MN,2011,13.12,82.73
MS,2011,12.99,57.69
MO,2011,14.22,80.79
MT,2011,15.12,87.42
NE,2011,13.56,81.78
NV,2011,12.47,53.46
NH,2011,14.0,91.99
NJ,2011,13.68,58.55
NM,2011,13.59,40.06
NY,2011,13.69,57.82
NC,2011,13.21,64.9
ND,2011,14.4,88.53
OH,2011,14.27,80.92
OK,2011,13.65,68.17
OR,2011,14.29,77.9
PA,2011,15.56,79.07
RI,2011,14.62,75.84
SC,2011,14.0,63.91
SD,2011,14.56,84.55
TN,2011,13.73,75.33
TX,2011,10.55,44.73
UT,2011,9.17,79.87
VT,2011,14.95,94.04
VA,2011,12.48,64.35
WA,2011,12.61,71.94
WI,2011,13.87,83.0
WY,2011,12.68,85.55
AL,2012,14.52,66.62
AK,2012,8.49,62.95
AZ,2012,14.82,56.92
AR,2012,14.96,73.89
CA,2012,12.09,39.18
CO,2012,11.78,69.39
DE,2012,15.35,64.29
DC,2012,11.37,35.26
CT,2012,14.82,69.99
FL,2012,18.16,56.77
GA,2012,11.49,55.04
ID,2012,13.22,83.41
HI,2012,15.11,22.77
IL,2012,13.17,62.86
IN,2012,13.61,80.91
IA,2012,15.28,88.01
KS,2012,13.66,77.44
KY,2012,14.01,85.84
LA,2012,12.99,59.73
ME,2012,17.0,94.09
MD,2012,12.96,53.81
MA,2012,14.46,75.29
MI,2012,14.6,76.12
MN,2012,13.57,82.26
MS,2012,13.49,57.53
MO,2012,14.68,80.52
MT,2012,15.78,87.23
NE,2012,13.85,81.33
NV,2012,13.03,52.75
NH,2012,14.7,91.8
NJ,2012,14.1,57.93
NM,2012,14.11,39.66
NY,2012,14.1,57.37
NC,2012,13.81,64.53
ND,2012,14.43,88.07
OH,2012,14.79,80.64
OK,2012,14.05,67.78
OR,2012,14.92,77.62
PA,2012,16.0,78.63
RI,2012,15.12,75.37
SC,2012,14.71,63.87
SD,2012,14.53,83.82
TN,2012,14.26,74.98
TX,2012,10.89,44.34
VT,2012,15.73,93.95
UT,2012,9.52,79.81
VA,2012,12.98,63.95
WA,2012,13.16,71.44
WI,2012,14.39,82.75
WY,2012,13.02,84.6
MS,2013,13.85,57.37
MO,2013,15.03,80.39
MT,2013,16.26,87.04
NE,2013,14.16,80.96
NV,2013,13.65,52.1
NH,2013,15.34,91.35
NJ,2013,14.43,57.3
NM,2013,14.73,39.28
NY,2013,14.4,56.92
NC,2013,14.26,64.24
ND,2013,14.18,87.39
OH,2013,15.14,80.34
OK,2013,14.23,67.44
OR,2013,15.38,77.35
PA,2013,16.36,78.24
RI,2013,15.49,74.61
SC,2013,15.19,63.82
SD,2013,14.74,83.45
TN,2013,14.63,74.85
TX,2013,11.22,43.95
VT,2013,16.38,93.97
UT,2013,9.74,79.53
VA,2013,13.37,63.51
WA,2013,13.64,70.88
WI,2013,14.78,82.47
WY,2013,13.31,84.72
AL,2013,14.93,66.3
AK,2013,8.92,62.46
AZ,2013,15.37,56.6
AR,2013,15.33,73.6
CA,2013,12.51,38.83
CO,2013,12.24,69.15
DE,2013,15.87,63.96
DC,2013,11.44,35.62
CT,2013,15.14,69.33
FL,2013,18.64,56.22
GA,2013,11.92,54.59
ID,2013,13.84,83.17
HI,2013,15.68,22.99
IL,2013,13.51,62.67
IN,2013,13.94,80.59
IA,2013,15.52,87.51
KS,2013,14.04,77.05
KY,2013,14.47,85.67
LA,2013,13.12,59.53
ME,2013,17.77,93.91
MD,2013,13.39,53.17
MA,2013,14.79,74.64
MI,2013,15.02,75.94
MN,2013,13.92,81.88
AL,2014,15.39,66.1
AK,2014,9.49,61.76
AZ,2014,15.91,56.11
AR,2014,15.68,73.36
CA,2014,12.86,38.27
CO,2014,12.69,68.84
DE,2014,16.43,63.54
DC,2014,11.3,35.73
CT,2014,15.45,68.56
FL,2014,19.06,55.58
GA,2014,12.37,54.21
ID,2014,14.38,82.78
HI,2014,16.07,22.91
IL,2014,13.88,62.16
IN,2014,14.27,80.25
IA,2014,15.79,87.15
KS,2014,14.38,76.72
KY,2014,14.8,85.4
LA,2014,13.57,59.22
ME,2014,18.24,93.65
MD,2014,13.76,52.43
MA,2014,15.06,73.8
MI,2014,15.45,75.69
MN,2014,14.25,81.31
MS,2014,14.27,57.21
MO,2014,15.37,79.95
MT,2014,16.62,86.71
NE,2014,14.39,80.45
NV,2014,14.11,51.33
NH,2014,15.79,91.18
NJ,2014,14.68,56.61
NM,2014,15.25,38.73
NY,2014,14.66,56.33
NC,2014,14.69,63.95
ND,2014,14.16,86.77
OH,2014,15.5,80.02
OK,2014,14.48,66.97
OR,2014,15.97,76.88
PA,2014,16.69,77.72
RI,2014,15.84,74.05
SC,2014,15.76,63.78
SD,2014,15.16,83.17
TN,2014,15.07,74.54
TX,2014,11.49,43.43
VT,2014,17.02,93.22
UT,2014,10.02,79.19
VA,2014,13.77,62.96
WA,2014,14.06,70.25
WI,2014,15.21,82.18
WY,2014,13.75,84.03
MS,2015,14.74,56.98
MO,2015,15.63,79.87
MT,2015,17.32,86.6
NE,2015,14.7,80.06
NV,2015,14.6,50.53
NH,2015,16.41,90.94
NJ,2015,14.99,56.05
NM,2015,15.85,38.28
NY,2015,14.97,55.82
NC,2015,15.09,63.61
ND,2015,14.18,85.91
OH,2015,15.84,79.7
OK,2015,14.73,66.41
OR,2015,16.38,76.51
PA,2015,17.04,77.26
RI,2015,16.14,73.38
SC,2015,16.22,63.72
SD,2015,15.67,82.78
TN,2015,15.39,74.24
TX,2015,11.73,42.94
VT,2015,17.58,93.42
UT,2015,10.28,78.91
VA,2015,14.16,62.5
WA,2015,14.46,69.69
WI,2015,15.61,81.81
WY,2015,14.08,84.06
AL,2015,15.68,65.94
AK,2015,9.62,61.27
AZ,2015,16.4,55.69
AR,2015,16.05,73.03
CA,2015,13.26,37.85
CO,2015,13.04,68.49
DE,2015,17.0,63.05
DC,2015,11.39,35.98
CT,2015,15.74,67.94
FL,2015,19.46,55.11
GA,2015,12.75,53.67
ID,2015,14.7,82.6
HI,2015,16.57,22.78
IL,2015,14.22,61.81
IN,2015,14.58,79.9
IA,2015,16.04,86.77
KS,2015,14.63,76.37
KY,2015,15.23,85.15
LA,2015,13.99,58.98
ME,2015,18.85,93.58
MD,2015,14.1,51.86
MA,2015,15.37,72.98
MI,2015,15.83,75.45
MN,2015,14.66,80.91
MS,2016,15.04,56.82
MO,2016,16.03,79.63
MT,2016,17.64,86.41
NE,2016,14.96,79.7
NV,2016,15.03,49.78
NH,2016,17.0,90.73
NJ,2016,15.34,55.53
NM,2016,16.44,37.83
NY,2016,15.35,55.52
NC,2016,15.46,63.45
ND,2016,14.49,85.06
OH,2016,16.23,79.35
OK,2016,14.99,66.15
OR,2016,16.83,76.21
PA,2016,17.38,76.91
RI,2016,16.48,72.78
SC,2016,16.73,63.72
SD,2016,15.9,82.42
TN,2016,15.72,74.11
TX,2016,12.03,42.51
VT,2016,18.19,92.96
UT,2016,10.47,78.7
VA,2016,14.6,62.24
WA,2016,14.8,69.34
WI,2016,16.05,81.65
WY,2016,14.96,84.39
AL,2016,16.12,65.74
AK,2016,10.22,61.03
AZ,2016,16.88,55.33
AR,2016,16.25,72.79
CA,2016,13.63,37.52
CO,2016,13.41,68.53
DE,2016,17.51,62.74
DC,2016,11.61,36.29
CT,2016,16.12,67.43
FL,2016,19.85,54.68
GA,2016,13.18,53.2
ID,2016,15.22,82.34
HI,2016,17.05,22.07
IL,2016,14.63,61.61
IN,2016,14.98,79.5
IA,2016,16.39,86.4
KS,2016,15.05,76.24
KY,2016,15.5,84.87
LA,2016,14.4,58.84
ME,2016,19.28,93.4
MD,2016,14.57,51.4
MA,2016,15.77,72.36
MI,2016,16.21,75.29
MN,2016,15.04,80.51
MS,2017,15.61,56.58
MO,2017,16.53,79.41
MT,2017,18.11,86.27
NE,2017,15.36,79.04
NV,2017,15.3,48.78
NH,2017,17.6,90.32
NJ,2017,15.73,54.85
NM,2017,16.76,37.39
NY,2017,15.93,55.1
NC,2017,15.87,63.01
ND,2017,14.92,84.37
OH,2017,16.64,78.95
OK,2017,15.29,65.56
OR,2017,17.11,75.62
PA,2017,17.78,76.38
RI,2017,16.66,72.07
SC,2017,17.23,63.65
SD,2017,16.31,82.32
TN,2017,15.94,73.89
TX,2017,12.24,41.88
VT,2017,18.78,92.79
UT,2017,10.81,78.29
VA,2017,15.01,61.71
WA,2017,15.09,68.56
WI,2017,16.5,81.21
WY,2017,15.61,83.99
AK,2017,11.22,60.57
AL,2017,16.48,65.47
AZ,2017,17.12,54.68
AR,2017,16.54,72.34
CA,2017,13.92,36.97
CO,2017,13.8,68.16
DE,2017,18.01,62.16
DC,2017,12.1,36.52
CT,2017,16.75,66.71
FL,2017,20.09,53.79
GA,2017,13.44,52.61
ID,2017,15.29,81.97
HI,2017,17.78,21.76
IL,2017,15.21,61.2
IN,2017,15.36,79.18
IA,2017,16.68,85.87
KS,2017,15.36,75.89
KY,2017,15.92,84.64
LA,2017,14.86,58.47
ME,2017,19.97,93.35
MD,2017,14.91,50.66
MA,2017,16.15,71.53
MI,2017,16.71,75.05
MN,2017,15.4,79.89
WI,2018,16.97,80.98
WY,2018,16.71,83.96
MS,2018,15.89,56.4
MO,2018,16.9,79.28
MT,2018,18.85,85.87
NE,2018,15.76,78.54
NV,2018,15.66,48.43
NH,2018,18.07,89.78
NJ,2018,16.15,54.61
NM,2018,17.58,36.89
NY,2018,16.44,55.24
NC,2018,16.26,62.66
ND,2018,15.32,83.8
OH,2018,17.08,78.55
OK,2018,15.71,65.19
OR,2018,17.65,75.11
PA,2018,18.21,75.92
RI,2018,17.27,71.41
SC,2018,17.7,63.53
SD,2018,16.59,81.47
TN,2018,16.32,73.63
TX,2018,12.54,41.4
VT,2018,19.78,92.6
UT,2018,11.11,77.82
VA,2018,15.48,61.33
WA,2018,15.45,67.83
AL,2018,16.97,65.31
AK,2018,11.93,60.11
AZ,2018,17.56,54.3
AR,2018,16.84,72.14
CA,2018,14.33,36.64
CO,2018,14.18,67.76
DE,2018,18.69,61.84
DC,2018,12.19,36.92
CT,2018,17.16,66.27
FL,2018,20.46,53.26
GA,2018,13.85,52.23
ID,2018,15.93,81.77
HI,2018,18.41,21.71
IL,2018,15.62,60.91
IN,2018,15.71,78.7
IA,2018,17.04,85.41
KS,2018,15.87,75.62
KY,2018,16.37,84.51
LA,2018,15.46,58.39
ME,2018,20.63,93.02
MD,2018,15.41,50.23
MA,2018,16.48,70.74
MI,2018,17.21,74.79
MN,2018,15.84,79.4
MS,2019,16.36,56.3
MO,2019,17.24,79.1
MT,2019,19.45,85.76
NE,2019,16.14,78.36
NV,2019,16.18,47.84
NH,2019,18.62,89.66
NJ,2019,16.61,54.32
NM,2019,18.01,36.75
NY,2019,16.94,55.06
NC,2019,16.69,62.47
ND,2019,15.77,83.64
OH,2019,17.48,78.34
OK,2019,16.05,64.9
OR,2019,18.2,74.9
PA,2019,18.66,75.62
RI,2019,17.67,70.8
SC,2019,18.17,63.55
SD,2019,17.39,81.5
TN,2019,16.68,73.31
TX,2019,12.89,41.14
VT,2019,20.06,92.45
UT,2019,11.39,77.69
VA,2019,15.91,61.07
WA,2019,15.86,67.32
WI,2019,17.52,80.8
WY,2019,17.07,83.7
IL,2019,16.14,60.69
GA,2019,14.35,51.82
ID,2019,16.15,81.59
HI,2019,19.03,21.54
IN,2019,16.11,78.31
IA,2019,17.55,85.09
KS,2019,16.41,75.39
KY,2019,16.89,84.22
LA,2019,15.97,58.25
ME,2019,21.27,92.82
MD,2019,15.88,49.82
MA,2019,17.01,70.31
MI,2019,17.69,74.67
MN,2019,16.34,78.94
CT,2019,17.64,65.62
FL,2019,20.94,52.98
AL,2019,17.42,65.12
AK,2019,12.38,59.83
AZ,2019,17.96,53.98
AR,2019,17.37,71.97
CA,2019,14.77,36.33
CO,2019,14.68,67.52
DE,2019,19.47,61.31
DC,2019,12.4,37.29
AL,2021,17.58,64.15
AZ,2021,18.33,52.01
AR,2021,17.36,68.22
CA,2021,15.2,34.26
CO,2021,15.14,65.18
CT,2021,18.0,62.75
DE,2021,20.09,59.32
DC,2021,12.78,36.42
FL,2021,21.11,51.14
GA,2021,14.68,50.23
HI,2021,19.6,20.78
ID,2021,16.52,78.67
IL,2021,16.6,58.93
IN,2021,16.39,76.63
IA,2021,17.78,82.98
KS,2021,16.69,73.36
KY,2021,17.04,82.66
LA,2021,16.57,56.89
ME,2021,21.65,90.04
MD,2021,16.28,47.84
MA,2021,17.42,67.48
MI,2021,18.14,72.86
MN,2021,16.81,76.86
MS,2021,16.85,55.44
MO,2021,17.59,76.56
MT,2021,19.68,83.81
NE,2021,16.44,76.42
NV,2021,16.53,45.17
NH,2021,19.28,87.25
NJ,2021,16.87,52.11
NM,2021,18.52,34.91
NY,2021,17.53,53.46
NC,2021,17.03,60.93
ND,2021,15.98,82.27
OH,2021,17.85,76.55
OK,2021,16.18,62.84
OR,2021,18.6,72.05
PA,2021,19.01,73.55
RI,2021,18.27,68.87
SC,2021,18.63,62.6
SD,2021,17.63,80.0
TN,2021,17.02,72.11
TX,2021,13.18,39.38
UT,2021,11.63,76.02
VT,2021,20.63,90.63
VA,2021,16.27,59.24
WA,2021,16.17,64.3
WI,2021,17.88,78.98
WY,2021,17.94,81.55
AK,2021,13.43,57.89
AL,2022,17.99,64.05
AK,2022,13.83,57.4
AZ,2022,18.78,51.83
AR,2022,17.69,67.47
CA,2022,15.78,33.72
CO,2022,15.68,64.95
CT,2022,18.3,61.96
DE,2022,20.83,58.85
DC,2022,13.0,36.73
FL,2022,21.55,50.84
GA,2022,15.07,49.63
HI,2022,20.46,20.69
ID,2022,16.99,78.97
IL,2022,17.21,58.47
IN,2022,16.94,75.99
IA,2022,18.4,82.8
KS,2022,17.24,73.13
KY,2022,17.53,82.24
LA,2022,16.99,56.71
ME,2022,22.59,90.18
MD,2022,16.92,47.15
MA,2022,18.05,66.98
MI,2022,18.71,72.64
MN,2022,17.4,76.2
MS,2022,17.45,55.3
MO,2022,18.02,76.62
MT,2022,20.14,83.48
NE,2022,17.02,75.82
NV,2022,16.95,44.38
NH,2022,20.21,86.59
NJ,2022,17.4,51.46
NM,2022,19.15,34.8
NY,2022,18.12,52.9
NC,2022,17.45,60.73
ND,2022,16.72,82.04
OH,2022,18.45,76.12
OK,2022,16.47,62.63
OR,2022,19.26,71.64
PA,2022,19.57,73.14
RI,2022,18.85,68.19
SC,2022,19.09,62.5
SD,2022,18.24,79.89
TN,2022,17.27,71.9
TX,2022,13.44,38.91
UT,2022,11.94,75.65
VT,2022,21.61,90.18
VA,2022,16.84,58.68
WA,2022,16.81,63.47
WI,2022,18.71,78.98
WY,2022,18.57,81.4
AL,2023,18.25,63.34
AK,2023,14.04,57.66
AZ,2023,19.35,52.27
AR,2023,17.96,67.11
CA,2023,16.2,33.27
CO,2023,16.07,64.47
CT,2023,19.08,61.36
DE,2023,21.32,58.03
DC,2023,13.11,37.15
FL,2023,21.75,50.29
GA,2023,15.41,48.66
HI,2023,21.14,20.89
ID,2023,17.42,78.38
IL,2023,17.58,57.85
IN,2023,17.22,75.1
IA,2023,18.55,82.38
KS,2023,17.63,72.75
KY,2023,17.78,81.54
LA,2023,17.37,55.68
ME,2023,22.94,89.52
MD,2023,17.26,46.32
MA,2023,18.47,65.93
MI,2023,19.25,72.35
MN,2023,17.88,75.56
MS,2023,17.57,55.07
MO,2023,18.37,76.47
MT,2023,20.48,83.3
NE,2023,17.23,75.16
NV,2023,17.37,44.39
NH,2023,20.68,86.48
NJ,2023,17.72,50.62
NM,2023,19.95,35.93
NY,2023,18.58,52.75
NC,2023,17.68,59.75
ND,2023,17.09,81.46
OH,2023,18.79,75.61
OK,2023,16.7,61.73
OR,2023,19.56,70.8
PA,2023,20.04,72.71
RI,2023,19.38,67.68
SC,2023,19.32,61.91
SD,2023,18.45,79.4
TN,2023,17.49,71.06
TX,2023,13.75,38.74
UT,2023,12.16,74.55
VT,2023,22.15,89.28
VA,2023,17.2,58.08
WA,2023,17.14,62.43
WI,2023,19.17,78.39
WY,2023,19.19,81.27
