state,year,healthcare_spending_per_capita,total_health_spending_millions
AR,2006,5483.351785495746,15413.0
AR,2007,5785.246703732225,16400.0
AR,2008,6025.096396639338,17204.0
AR,2009,6238.903597570472,18027.0
AR,2010,6378.683504894226,18636.0
AR,2011,6547.698264691477,19237.0
AR,2012,6781.319649754453,19999.0
AR,2013,6821.715275499236,20188.0
AR,2014,7289.720193273325,21624.0
AR,2015,7624.057989311679,22706.0
AR,2016,8089.020723848891,24172.0
AR,2017,8408.007378808692,25260.0
AR,2018,8540.641875357727,25740.0
AR,2019,8862.073216153203,26744.0
AR,2020,,28300.0
FL,2001,,77263.0
FL,2002,,83798.0
FL,2003,,90581.0
FL,2004,,98765.0
FL,2005,6111.660162332128,106236.0
FL,2006,6324.416915991027,114408.0
FL,2007,6650.1224053616515,121373.0
FL,2008,6930.578546665983,127026.0
FL,2009,7161.787788079698,132765.0
FL,2010,7269.629576010095,136984.0
FL,2011,7374.665631066168,140543.0
FL,2012,7603.130994543412,146874.0
FL,2013,7602.2638120459105,148646.0
FL,2014,7949.612374459598,158144.0
FL,2015,8308.161421740086,168417.0
FL,2016,8525.143482534988,175724.0
FL,2017,8811.402756333277,184902.0
FL,2018,9129.115594038778,194444.0
FL,2019,9496.205303193721,203957.0
FL,2020,,214408.0
GA,2001,,31832.0
GA,2002,,35213.0
GA,2003,,37654.0
GA,2004,,41438.0
GA,2005,4962.96284540029,43779.0
GA,2006,5065.815771372331,47436.0
GA,2007,5255.14026035255,50159.0
GA,2008,5283.435118665123,51174.0
GA,2009,5410.200269380726,53178.0
GA,2010,5551.2501458159395,53917.0
GA,2011,5689.435070670928,55843.0
GA,2012,5971.101654293446,59233.0
GA,2013,6218.270771495312,62134.0
GA,2014,6604.905864839889,66692.0
GA,2015,7033.3807805491215,71845.0
GA,2016,7351.238864246495,75794.0
GA,2017,7595.754263029467,79219.0
GA,2018,7844.0226342094065,82515.0
GA,2019,8251.248914166837,87607.0
GA,2020,,93803.0
KY,2001,,18124.0
KY,2002,,19725.0
KY,2003,,20930.0
KY,2004,,22325.0
KY,2005,5832.505673708364,23672.0
KY,2006,5999.8944383765,25236.0
KY,2007,6228.023559734187,26416.0
KY,2008,6381.924672863703,27246.0
KY,2009,6680.631684890961,28821.0
KY,2010,6864.743207157592,29836.0
KY,2011,7099.902136607775,31022.0
KY,2012,7261.412446081022,31808.0
KY,2013,7518.949240039633,33048.0
KY,2014,7971.755474223494,35183.0
KY,2015,8313.273486743326,36787.0
KY,2016,8618.035625180584,38238.0
KY,2017,8961.676300668876,39917.0
KY,2018,9323.019728305555,41659.0
KY,2019,9754.294909229033,43579.0
KY,2020,,45922.0
LA,2001,,19081.0
LA,2002,,20435.0
LA,2003,,22161.0
LA,2004,,23806.0
LA,2005,5642.694214495733,24770.0
LA,2006,5955.079659160663,25534.0
LA,2007,6407.102946890015,27507.0
LA,2008,6631.002658023631,29248.0
LA,2009,6928.422404251397,31123.0
LA,2010,7187.139377689676,32660.0
LA,2011,7125.938503587889,32600.0
LA,2012,7271.790108983412,33464.0
LA,2013,7462.59299055015,34518.0
LA,2014,7848.503852741567,36493.0
LA,2015,8194.661041842764,38275.0
LA,2016,8541.190251504486,39987.0
LA,2017,8963.28249934409,41987.0
LA,2018,9226.223814790543,42994.0
LA,2019,9676.91835775042,44986.0
LA,2020,,48845.0
MS,2001,,11591.0
MS,2002,,12587.0
MS,2003,,13477.0
MS,2004,,14617.0
MS,2005,5519.525125382592,15588.0
MS,2006,5764.2224466937405,16777.0
MS,2007,6180.653936483845,18040.0
MS,2008,6399.947186058208,18807.0
MS,2009,6566.065807677246,19383.0
MS,2010,6555.812791494784,19471.0
MS,2011,6736.249509822354,20064.0
MS,2012,7208.888930579854,21518.0
MS,2013,7199.769190163034,21536.0
MS,2014,7494.458229058085,22439.0
MS,2015,7771.86228939092,23256.0
MS,2016,8175.389781465414,24434.0
MS,2017,8409.905834254885,25096.0
MS,2018,8406.411454095556,25106.0
MS,2019,8750.569947942795,26043.0
MS,2020,,27870.0
NC,2001,,35711.0
NC,2002,,38084.0
NC,2003,,41233.0
NC,2004,,44848.0
NC,2005,5736.269743543041,48248.0
NC,2006,5875.568296974935,52037.0
NC,2007,6033.860160741072,54673.0
NC,2008,6224.617545905009,57406.0
NC,2009,6500.773274672195,60983.0
NC,2010,6526.969767897658,62408.0
NC,2011,6706.432344721393,64760.0
NC,2012,6967.646776229013,67949.0
NC,2013,6912.325879411783,68073.0
NC,2014,7189.084755334995,71488.0
NC,2015,7589.814077784268,76223.0
NC,2016,7897.3759972121225,80133.0
NC,2017,8106.940834399921,83286.0
NC,2018,8290.846544846594,86089.0
NC,2019,8629.602890289589,90508.0
NC,2020,,94532.0
SC,2001,,17163.0
SC,2002,,18678.0
SC,2003,,20071.0
SC,2004,,21594.0
SC,2005,5613.081893581393,23092.0
SC,2006,5723.345264297429,24732.0
SC,2007,5963.64233664246,26286.0
SC,2008,6225.50113844368,27889.0
SC,2009,6377.429656220827,29089.0
SC,2010,6506.033243664361,30164.0
SC,2011,6628.868424933162,31018.0
SC,2012,6777.916486635648,32017.0
SC,2013,6905.782582407491,32974.0
SC,2014,7201.26841651971,34800.0
SC,2015,7445.8563939882515,36456.0
SC,2016,7672.059468841606,38062.0
SC,2017,7859.295366244,39488.0
SC,2018,7986.818582619986,40606.0
SC,2019,8359.368960870617,43040.0
SC,2020,,45742.0
TN,2001,,25707.0
TN,2002,,27170.0
TN,2003,,29738.0
TN,2004,,32507.0
TN,2005,5943.6305091221375,34536.0
TN,2006,6006.819563413478,36274.0
TN,2007,6250.73192393546,38484.0
TN,2008,6342.511723461469,39418.0
TN,2009,6507.202536619393,40971.0
TN,2010,6628.076559994601,42134.0
TN,2011,6735.22137542628,43128.0
TN,2012,7010.423864157529,45261.0
TN,2013,7129.180548333138,46311.0
TN,2014,7412.641739213284,48548.0
TN,2015,7799.798160659086,51481.0
TN,2016,8064.867751564606,53641.0
TN,2017,8483.790312782163,56977.0
TN,2018,8575.024261411727,58053.0
TN,2019,8828.886187407144,60294.0
TN,2020,,64295.0
VA,2001,,27714.0
VA,2002,,30559.0
VA,2003,,33522.0
VA,2004,,36461.0
VA,2005,5350.75651118947,39235.0
VA,2006,5505.644204465226,42079.0
VA,2007,5832.140725517891,44978.0
VA,2008,6148.211199537037,47766.0
VA,2009,6449.52991339141,50839.0
VA,2010,6547.477593011604,52541.0
VA,2011,6795.318135850537,55019.0
VA,2012,7045.924396279588,57677.0
VA,2013,7188.025284474551,59376.0
VA,2014,7439.448714787584,61943.0
VA,2015,7735.542663580895,64847.0
VA,2016,7992.693128516486,67233.0
VA,2017,8177.430513741408,69263.0
VA,2018,8418.132391606405,71703.0
VA,2019,8847.616647564138,75519.0
VA,2020,,78989.0
WV,2001,,8776.0
WV,2002,,9479.0
WV,2003,,10200.0
WV,2004,,10922.0
WV,2005,,11623.0
WV,2006,,12259.0
WV,2007,,13002.0
WV,2008,,13454.0
WV,2009,,14316.0
WV,2010,,14687.0
WV,2011,,15242.0
WV,2012,,16182.0
WV,2013,,16491.0
WV,2014,,17368.0
WV,2015,,18335.0
WV,2016,,19219.0
WV,2017,,20037.0
WV,2018,,20475.0
WV,2019,,21456.0
WV,2020,,22790.0
AZ,2001,,18116.0
AZ,2002,,20459.0
AZ,2003,,22539.0
AZ,2004,,24813.0
AZ,2005,4848.161330012716,28264.0
AZ,2006,5012.878025427816,30911.0
AZ,2007,5294.4150704673075,33560.0
AZ,2008,5485.386558526072,35656.0
AZ,2009,5652.403704309029,37282.0
AZ,2010,6014.122499877996,38573.0
AZ,2011,6066.944799888315,39329.0
AZ,2012,6209.433327407525,40692.0
AZ,2013,6297.022435556929,41728.0
AZ,2014,6562.74307418691,44177.0
AZ,2015,6889.653218005394,47043.0
AZ,2016,7203.215780072084,49926.0
AZ,2017,7573.112209193774,53135.0
AZ,2018,7808.109881608769,55997.0
AZ,2019,8159.679789721183,59392.0
AZ,2020,,64980.0
NM,2001,,6835.0
NM,2002,,7499.0
NM,2003,,8050.0
NM,2004,,8892.0
NM,2005,5226.791013141162,9864.0
NM,2006,5389.340729223743,10534.0
NM,2007,5760.147011419274,11347.0
NM,2008,6077.034564362443,12059.0
NM,2009,6348.302781898132,12758.0
NM,2010,6426.155362325575,13276.0
NM,2011,6509.38611792007,13554.0
NM,2012,6686.044560204609,13944.0
NM,2013,6720.897411243632,14015.0
NM,2014,7025.890259362899,14653.0
NM,2015,7436.0620955547165,15505.0
NM,2016,7759.674966302501,16148.0
NM,2017,7991.590320247885,16687.0
NM,2018,8146.784332365512,17071.0
NM,2019,8470.409365761347,17761.0
NM,2020,,18750.0
OK,2001,,14191.0
OK,2002,,15204.0
OK,2003,,16667.0
OK,2004,,17488.0
OK,2005,5545.368335946801,19040.0
OK,2006,5712.1511662343555,20445.0
OK,2007,6067.205629809505,21947.0
OK,2008,6418.913446525482,23380.0
OK,2009,6567.852348083156,24216.0
OK,2010,6661.080542796851,25057.0
OK,2011,6932.334047561023,26284.0
OK,2012,7221.0484374098905,27547.0
OK,2013,7321.776943038014,28193.0
OK,2014,7660.033351804811,29706.0
OK,2015,7900.109885670837,30900.0
OK,2016,8141.328757218252,31943.0
OK,2017,8387.977808441095,32972.0
OK,2018,8626.253747388779,34014.0
OK,2019,8931.831949235919,35343.0
OK,2020,,37595.0
TX,2001,,83658.0
TX,2002,,92199.0
TX,2003,,97931.0
TX,2004,,104364.0
TX,2005,5161.030463851525,114937.0
TX,2006,5241.795876710279,123223.0
TX,2007,5480.083566275302,130998.0
TX,2008,5737.170599187552,139568.0
TX,2009,5977.491517938891,148136.0
TX,2010,6107.586163644825,154260.0
TX,2011,6251.995886531171,160518.0
TX,2012,6480.896595341001,168887.0
TX,2013,6517.458489508149,172375.0
TX,2014,6826.104043341982,184011.0
TX,2015,7217.233144105048,198251.0
TX,2016,7407.026969059165,206379.0
TX,2017,7568.170201051447,214214.0
TX,2018,7690.655426506554,220736.0
TX,2019,8025.760624414205,232714.0
TX,2020,,246812.0
CO,2001,,17676.0
CO,2002,,19198.0
CO,2003,,20764.0
CO,2004,,22121.0
CO,2005,5027.350575725454,22936.0
CO,2006,5257.735710843049,24992.0
CO,2007,5493.760689826114,26708.0
CO,2008,5635.235945010949,27835.0
CO,2009,5798.897775570039,29138.0
CO,2010,5930.001776564442,29941.0
CO,2011,6066.687044001755,31042.0
CO,2012,6228.528050255399,32311.0
CO,2013,6367.058331357705,33544.0
CO,2014,6676.231257466113,35757.0
CO,2015,7072.019915793317,38589.0
CO,2016,7326.896541766198,40595.0
CO,2017,7629.003947457123,42777.0
CO,2018,8000.261255952879,45566.0
CO,2019,8285.672411445845,47715.0
CO,2020,,49849.0
ID,2001,,4793.0
ID,2002,,5367.0
ID,2003,,5798.0
ID,2004,,6226.0
ID,2005,4905.297520696687,6846.0
ID,2006,5067.287661144316,7431.0
ID,2007,5334.126538446661,7998.0
ID,2008,5485.5704363256455,8359.0
ID,2009,5699.310583962619,8810.0
ID,2010,5906.646727544625,9282.0
ID,2011,6049.268605065663,9588.0
ID,2012,6283.65235177925,10027.0
ID,2013,6376.6332368981275,10280.0
ID,2014,6605.835307476947,10797.0
ID,2015,6832.917404361514,11308.0
ID,2016,6977.435032142305,11744.0
ID,2017,7269.315288859328,12481.0
ID,2018,7435.264233203816,13043.0
ID,2019,7731.671763478105,13817.0
ID,2020,,14886.0
MT,2001,,3807.0
MT,2002,,4082.0
MT,2003,,4416.0
MT,2004,,4701.0
MT,2005,5615.7627894769785,5114.0
MT,2006,5807.5525707365405,5486.0
MT,2007,6144.94169822135,5886.0
MT,2008,6404.531547176052,6196.0
MT,2009,6697.511459103641,6530.0
MT,2010,6917.967338717002,6855.0
MT,2011,7144.867907100688,7132.0
MT,2012,7453.680627892008,7492.0
MT,2013,7695.300763915226,7812.0
MT,2014,7934.9029239560405,8122.0
MT,2015,8332.453974010334,8607.0
MT,2016,8677.051759198865,9046.0
MT,2017,9058.603912639113,9516.0
MT,2018,9349.480610559114,9932.0
MT,2019,9820.561426226963,10496.0
MT,2020,,11035.0
UT,2001,,7502.0
UT,2002,,8412.0
UT,2003,,9142.0
UT,2004,,9985.0
UT,2005,4483.902197870105,10884.0
UT,2006,4590.474823563182,11706.0
UT,2007,4775.963679389717,12634.0
UT,2008,4885.9387287934915,13370.0
UT,2009,4987.481020422528,13888.0
UT,2010,5130.6173416667,14245.0
UT,2011,5275.409605632783,14862.0
UT,2012,5471.604080430444,15623.0
UT,2013,5549.710569787291,16099.0
UT,2014,5816.367653425089,17117.0
UT,2015,6087.2807308875845,18237.0
UT,2016,6383.354576223192,19477.0
UT,2017,6631.885082143365,20571.0
UT,2018,6994.3896200853815,22110.0
UT,2019,7187.243251471167,23042.0
UT,2020,,24447.0
WY,2001,,2115.0
WY,2002,,2353.0
WY,2003,,2519.0
WY,2004,,2689.0
WY,2005,5904.374972234898,2924.0
WY,2006,6244.611692336371,3216.0
WY,2007,6711.550599621291,3509.0
WY,2008,6966.816103088603,3711.0
WY,2009,7141.6760063938855,3887.0
WY,2010,7245.863302979839,4090.0
WY,2011,7473.273279615882,4246.0
WY,2012,7753.1349104460005,4469.0
WY,2013,7845.082363925321,4571.0
WY,2014,8254.686700230932,4822.0
WY,2015,8657.122334317795,5074.0
WY,2016,8971.803634835807,5253.0
WY,2017,9507.780741047616,5508.0
WY,2018,9808.961517091688,5667.0
WY,2019,10135.479534659504,5866.0
WY,2020,,6399.0
AK,2001,,3272.0
AK,2002,,3642.0
AK,2003,,3955.0
AK,2004,,4249.0
AK,2005,7358.303569758962,4722.0
AK,2006,7481.49773226894,5013.0
AK,2007,7886.135325496944,5390.0
AK,2008,8328.804169647658,5716.0
AK,2009,8554.375043845646,5975.0
AK,2010,8925.957828245691,6373.0
AK,2011,9338.358806616136,6749.0
AK,2012,9921.402585826216,7257.0
AK,2013,10119.271096891443,7439.0
AK,2014,10539.789231362287,7765.0
AK,2015,11459.416710001733,8462.0
AK,2016,11772.5712837683,8734.0
AK,2017,12322.332538067978,9116.0
AK,2018,12681.744092384715,9352.0
AK,2019,13262.34202954022,9702.0
AK,2020,,9975.0
CA,2001,,132080.0
CA,2002,,143994.0
CA,2003,,158409.0
CA,2004,,169543.0
CA,2005,5176.598003649107,182624.0
CA,2006,5329.568370051426,194303.0
CA,2007,5726.8286797755,209334.0
CA,2008,6009.63101495658,220894.0
CA,2009,6206.836358882544,229415.0
CA,2010,6475.210835590422,241845.0
CA,2011,6730.966579779768,253703.0
CA,2012,7019.925381353961,267048.0
CA,2013,7226.448790049577,277008.0
CA,2014,7430.706784356678,288330.0
CA,2015,7948.587217853459,311146.0
CA,2016,8303.970925668644,325931.0
CA,2017,8551.254958278842,338088.0
CA,2018,9041.322474921977,357648.0
CA,2019,9610.06420722013,379715.0
CA,2020,,405451.0
HI,2001,,5019.0
HI,2002,,5470.0
HI,2003,,5952.0
HI,2004,,6389.0
HI,2005,5618.022901762134,6956.0
HI,2006,5660.063259530548,7276.0
HI,2007,6245.9677042328585,8016.0
HI,2008,6581.286417150159,8478.0
HI,2009,6768.953765428381,8767.0
HI,2010,6442.405917773341,8785.0
HI,2011,6483.077661640517,8913.0
HI,2012,6752.073707564319,9401.0
HI,2013,6903.580631514173,9693.0
HI,2014,7202.931046992697,10225.0
HI,2015,7701.157373936769,11025.0
HI,2016,8043.081235120475,11490.0
HI,2017,8485.23822132931,12113.0
HI,2018,8948.31435046051,12711.0
HI,2019,9553.123446187226,13526.0
HI,2020,,14480.0
NV,2001,,7710.0
NV,2002,,8852.0
NV,2003,,9842.0
NV,2004,,10950.0
NV,2005,5016.20766301835,11945.0
NV,2006,5208.514908061577,12998.0
NV,2007,5511.070086248364,14138.0
NV,2008,5730.01657201249,14899.0
NV,2009,5784.90665264265,15290.0
NV,2010,5783.759920906353,15643.0
NV,2011,5950.8203583711365,16206.0
NV,2012,6025.159744843202,16623.0
NV,2013,6229.087040918435,17380.0
NV,2014,6675.004992781161,18951.0
NV,2015,6933.266916766551,20043.0
NV,2016,7325.365690064617,21537.0
NV,2017,7576.285698751751,22714.0
NV,2018,7882.633489674373,23919.0
NV,2019,8142.120074437788,25079.0
NV,2020,,26200.0
OR,2001,,14352.0
OR,2002,,15447.0
OR,2003,,16585.0
OR,2004,,17929.0
OR,2005,5475.113261981585,19492.0
OR,2006,5713.424114735413,21144.0
OR,2007,5962.980209235335,22346.0
OR,2008,6197.263367862251,23488.0
OR,2009,6473.13650962436,24764.0
OR,2010,6747.405610430124,25903.0
OR,2011,6988.116044515051,27057.0
OR,2012,7160.675117128406,27922.0
OR,2013,7367.053725574513,28953.0
OR,2014,7889.449476467285,31323.0
OR,2015,8416.280360994862,33909.0
OR,2016,8698.498704642643,35607.0
OR,2017,8836.345484283967,36607.0
OR,2018,9152.141890890643,38354.0
OR,2019,9631.46824944277,40623.0
OR,2020,,42716.0
WA,2001,,24951.0
WA,2002,,27484.0
WA,2003,,29800.0
WA,2004,,31694.0
WA,2005,5560.546784117632,34177.0
WA,2006,5731.888342940161,36660.0
WA,2007,6150.029744494177,39781.0
WA,2008,6501.686306652513,42581.0
WA,2009,6808.624297458283,45374.0
WA,2010,6910.5237811691195,46608.0
WA,2011,7018.848211386233,47939.0
WA,2012,7334.190516124954,50584.0
WA,2013,7350.741012645082,51245.0
WA,2014,7597.786881879706,53652.0
WA,2015,7900.868451209711,56652.0
WA,2016,8109.769484083425,59104.0
WA,2017,8302.880615759957,61489.0
WA,2018,8577.562131490417,64637.0
WA,2019,8963.093769012907,68253.0
WA,2020,,71277.0
